date,22016001,22092001,22135001,22147006,22168001,22219003,22247002,22261002,22266001,22282001,22372001,29158001,29163003,29168001,29263002,29276001,29278001,35228001,44069002,44184001,56007001,56009001,56017003,56069001,56159001,56165003,56178003,56185001,56240003,56243001,56251001,85163001
2014-01-01 00:00:00,280.15,279.05,280.35,279.25,280.55,279.05,280.25,279.95,279.95,279.25,280.65,284.55,280.85,283.65,282.15,280.55,281.45,279.95,283.55,283.05,283.45,284.45,280.25,282.15,281.45,280.75,280.35,282.15,282.95,282.85,282.45,282.65
2014-01-01 01:00:00,280.15,279.05,280.05,278.65,280.95,279.35,280.75,279.85,280.05,279.45,280.15,284.65,280.95,282.95,282.65,281.35,281.75,279.65,283.75,283.05,283.55,283.45,280.75,283.15,281.55,281.05,281.25,283.15,283.05,283.05,282.25,282.75
2014-01-01 02:00:00,280.95,279.55,280.55,279.25,281.25,279.55,280.95,280.65,280.05,279.55,280.65,284.65,280.95,283.75,282.55,281.65,281.75,279.65,283.35,282.85,283.15,284.35,280.85,282.65,281.85,281.35,280.55,282.05,282.35,282.75,282.55,282.75
2014-01-01 03:00:00,281.45,279.85,280.85,279.05,281.55,280.05,281.45,280.95,280.45,280.15,280.35,284.55,281.15,283.75,283.05,281.65,282.05,280.25,283.75,283.35,283.55,284.55,281.05,283.55,281.35,281.35,281.25,283.25,283.25,282.95,282.05,282.85
2014-01-01 04:00:00,282.05,280.05,281.45,279.85,281.95,280.05,282.05,281.25,280.35,280.85,280.75,284.65,281.65,283.55,283.15,282.25,282.55,280.75,283.75,283.05,283.95,284.55,281.95,283.95,281.95,281.75,281.35,283.55,283.65,283.35,282.75,282.65
2014-01-01 05:00:00,282.35,280.35,281.55,280.55,282.55,280.65,282.25,281.55,281.05,281.25,280.95,284.35,281.55,283.05,282.65,282.15,282.25,281.45,283.95,283.55,284.25,284.15,282.55,283.95,282.65,281.95,282.35,283.65,283.65,283.65,283.35,283.15
2014-01-01 06:00:00,281.95,280.55,281.45,281.15,282.05,280.75,282.05,281.55,280.75,281.45,281.45,284.05,281.15,283.25,282.55,281.75,282.05,281.25,284.35,283.75,283.75,284.45,282.75,283.55,282.95,282.85,282.65,283.15,283.85,283.65,283.45,283.45
2014-01-01 07:00:00,282.15,280.75,281.55,281.55,281.75,281.15,281.95,281.85,281.25,281.45,281.75,284.65,281.85,283.65,282.95,282.35,282.45,281.75,284.25,283.75,284.15,284.25,282.55,283.75,283.15,282.85,282.55,283.65,283.85,283.65,283.45,283.35
2014-01-01 08:00:00,282.35,281.55,282.45,281.95,282.75,281.65,282.85,282.25,282.05,282.15,282.25,284.85,282.65,284.05,284.05,283.25,283.25,281.85,283.85,283.35,283.95,284.05,282.95,283.75,283.05,283.05,283.35,283.65,283.45,283.55,283.25,283.75
